loss,accuracy,val_loss,val_accuracy
2.123149871826172,0.14592592418193817,1.9403889179229736,0.16863904893398285
2.041764974594116,0.14592592418193817,1.927560806274414,0.13905325531959534
1.9813390970230103,0.1496296226978302,1.9191974401474,0.17159762978553772
1.9663208723068237,0.162222221493721,1.9058884382247925,0.3875739574432373
1.9396759271621704,0.1733333319425583,1.8832682371139526,0.16863904893398285
1.9017990827560425,0.1985185146331787,1.8349486589431763,0.4201183319091797
1.8469213247299194,0.21259258687496185,1.7241837978363037,0.4467455744743347
1.7268118858337402,0.2859259247779846,1.575348138809204,0.4881656765937805
1.6195894479751587,0.32370370626449585,1.4575879573822021,0.5591716170310974
1.5309737920761108,0.3437037169933319,1.3719450235366821,0.5976331233978271
1.4603261947631836,0.3911111056804657,1.2839651107788086,0.5532544255256653
1.4103367328643799,0.385185182094574,1.2067854404449463,0.6153846383094788
1.3309097290039062,0.4399999976158142,1.1189844608306885,0.668639063835144
1.24595308303833,0.4896296262741089,1.0336565971374512,0.7337278127670288
1.185113787651062,0.517037034034729,0.9605106115341187,0.7307692170143127
1.145684003829956,0.5251851677894592,0.9009255170822144,0.7573964595794678
1.1010308265686035,0.5222222208976746,0.8518813848495483,0.7455621361732483
1.0281621217727661,0.568148136138916,0.7984105348587036,0.7869822382926941
0.9836022257804871,0.5844444632530212,0.7609149217605591,0.7662721872329712
0.9484512209892273,0.6044444441795349,0.7128382325172424,0.807692289352417
0.9161416888237,0.6111111044883728,0.6863811612129211,0.7988165616989136
0.8835859894752502,0.6162962913513184,0.6515130400657654,0.7958579659461975
0.834656834602356,0.6570370197296143,0.6237868666648865,0.8520709872245789
0.820122241973877,0.6548148393630981,0.5907811522483826,0.8727810382843018
0.7853981256484985,0.6755555272102356,0.5703957676887512,0.8550295829772949
0.7716823220252991,0.6844444274902344,0.5519401431083679,0.8639053106307983
0.753790020942688,0.6874074339866638,0.5356065034866333,0.8786982297897339
0.7442755103111267,0.6740740537643433,0.520552396774292,0.8639053106307983
0.7172800898551941,0.7096296548843384,0.5097996592521667,0.8639053106307983
0.7184612154960632,0.7044444680213928,0.49610811471939087,0.8905325531959534
0.6955588459968567,0.7177777886390686,0.47482815384864807,0.8786982297897339
0.6635108590126038,0.7148148417472839,0.45610037446022034,0.8905325531959534
0.6580527424812317,0.7244444489479065,0.45103558897972107,0.8786982297897339
0.6524614095687866,0.7459259033203125,0.4480724334716797,0.88165682554245
0.6437970399856567,0.7429629564285278,0.4187198579311371,0.8964496850967407
0.6424587965011597,0.7392592430114746,0.4139173924922943,0.8994082808494568
0.6282092332839966,0.7607407569885254,0.41447973251342773,0.8934911489486694
0.6239702701568604,0.7459259033203125,0.4033682644367218,0.8964496850967407
0.6036421656608582,0.753333330154419,0.40548470616340637,0.8757396340370178
0.5874425172805786,0.7651851773262024,0.3826669454574585,0.8964496850967407
0.5797059535980225,0.7748148441314697,0.3775542080402374,0.8934911489486694
